x y z p
16.509914 -6.990433 -0.865248 0.871306
16.532572 -6.990433 0.000000 0.950000
16.509914 -6.990433 0.865248 0.871306
16.442005 -6.990433 1.728124 0.777067
16.411198 -6.012613 -1.724886 0.777067
16.478979 -6.012613 -0.863627 0.871306
16.501595 -6.012613 0.000000 0.950000
16.478979 -6.012613 0.863627 0.871306
16.411198 -6.012613 1.724886 0.777067
16.417839 -5.015597 -1.725584 0.777067
16.485647 -5.015597 -0.863976 0.871306
16.508272 -5.015597 0.000000 0.950000
16.485647 -5.015597 0.863976 0.871306
16.417839 -5.015597 1.725584 0.777067
